id;filename;text;augmentation_type;difficulté_verbalisation
1;Entretien 01 24.10.03 01_traitement_A;Une journée de travail en entreprise ou une journée de travail ici au BIP ?;original;2
10;Entretien 01 24.10.03 01_traitement_A;Du coup, le matin, on arrivait à l'atelier vers, pour ma part, 7h.;original;0
100;Entretien 01 24.10.03 01_traitement_A;Et du coup, si on a des onglets, c'est petite pièce en petit plomb et notre petite pièce.;original;1
100_contextual;Entretien 01 24.10.03 01_traitement_A;Et du coup, ici on a 19 onglets, c' indique mini pièce en tout morceau et mini double pièce.;contextual;1
100_swap;Entretien 01 24.10.03 01_traitement_A;Et du coup on, si a des onglets, c est ' petite pièce en petit et plomb petite notre pièce.;swap;1
100_translation;Entretien 01 24.10.03 01_traitement_A;Et quand on aura des onglets, c'est un petit morceau de plomb et notre petit morceau.;translation;1
101;Entretien 01 24.10.03 01_traitement_A;Et puis hop, on vient couper le plomb en onglets.;original;0
101_contextual;Entretien 01 24.10.03 01_traitement_A;Et ensuite hop, elle vient découper le saucisson en onglets.;contextual;0
101_swap;Entretien 01 24.10.03 01_traitement_A;Et puis, hop on couper vient le plomb en onglets.;swap;0
101_translation;Entretien 01 24.10.03 01_traitement_A;Et puis, hey, on coupe le plomb dans les onglets.;translation;0
102;Entretien 01 24.10.03 01_traitement_A;Je ne sais pas si c'est clair.;original;3
102_contextual;Entretien 01 24.10.03 01_traitement_A;J n sais pas si c'est exact.;contextual;3
102_swap;Entretien 01 24.10.03 01_traitement_A;Ne sais je pas si c ' clair est.;swap;3
102_translation;Entretien 01 24.10.03 01_traitement_A;Je ne sais pas si c'est clair.;translation;3
103;Entretien 01 24.10.03 01_traitement_A;Et du coup, petit à petit, on a notre base.;original;1
103_contextual;Entretien 01 24.10.03 01_traitement_A;Et du renfort, quelques petit peu, on a notre base.;contextual;1
103_swap;Entretien 01 24.10.03 01_traitement_A;Et coup du petit, petit à, a on notre base.;swap;1
103_translation;Entretien 01 24.10.03 01_traitement_A;Et puis, petit à petit, nous avons notre base.;translation;1
104;Entretien 01 24.10.03 01_traitement_A;On bâtit une base qui est d'équerre et qui est régulière.;original;0
104_contextual;Entretien 01 24.10.03 01_traitement_A;On bâtit leur base elle est d' unequer angulaire donc qui soit régulière.;contextual;0
104_swap;Entretien 01 24.10.03 01_traitement_A;On une bâtit base qui d est ' qui équerre et régulière est.;swap;0
104_translation;Entretien 01 24.10.03 01_traitement_A;Nous construisons une base qui se balade et qui est régulière.;translation;0
105;Entretien 01 24.10.03 01_traitement_A;Et ensuite, on vient remettre une autre pièce, petit plomb, petite pièce de verre, petit plomb, petite pièce de verre, jusqu'au final, quand on est bien d'équerre, on a bien notre forme avec nos bonnes mesures.;original;0
105_contextual;Entretien 01 24.10.03 01_traitement_A;Et hop, on vient remettre une énorme pièce, petit plomb, longue pièce de verre, petit sel, grosse pièce de verre, alors'au final, on on est bien d' être là ensemble, on a bien notre forme avec nos bonnes mesures.;contextual;0
105_swap;Entretien 01 24.10.03 01_traitement_A;Et ensuite, vient on remettre une autre pièce petit, plomb petite, pièce de verre, petit plomb, pièce petite verre de, jusqu ' final au, quand est on bien ' d équerre, on a forme bien notre avec nos bonnes mesures.;swap;0
105_translation;Entretien 01 24.10.03 01_traitement_A;Et puis nous arrivons pour mettre une autre pièce, un petit morceau de plomb, un petit morceau de plomb, un petit morceau de verre, jusqu'à la fin, quand nous nous tournons, nous avons notre forme avec nos mesures justes.;translation;0
106;Entretien 01 24.10.03 01_traitement_A;Si on a 48,7, on doit avoir 48,7.;original;0
106_contextual;Entretien 01 24.10.03 01_traitement_A;Si Allah a eu, deux, chacun doit avoir 48, 2.;contextual;0
106_swap;Entretien 01 24.10.03 01_traitement_A;On si a, 48, 7 doit on 48 avoir, 7.;swap;0
106_translation;Entretien 01 24.10.03 01_traitement_A;Si nous avons 48,7, nous devons 48,7.;translation;0
107;Entretien 01 24.10.03 01_traitement_A;C'est très précis.;original;0
107_contextual;Entretien 01 24.10.03 01_traitement_A;Il'est très intéressant.;contextual;0
107_swap;Entretien 01 24.10.03 01_traitement_A;' c est précis très.;swap;0
107_translation;Entretien 01 24.10.03 01_traitement_A;C'est très précis.;translation;0
108;Entretien 01 24.10.03 01_traitement_A;On vient, on fait d'équerre et puis si tout est parfait, on commence à souder.;original;1
108_contextual;Entretien 01 24.10.03 01_traitement_A;On essaye, on trouve une' excellentquerre et surtout si tout devient parfait, on commence à soudeonner.;contextual;1
108_swap;Entretien 01 24.10.03 01_traitement_A;Vient on, fait on d équerre ' et puis si tout parfait est on, commence souder à.;swap;1
108_translation;Entretien 01 24.10.03 01_traitement_A;On arrive, on commence à pivoter, et quand tout sera parfait, on commencera à souder.;translation;1
109;Entretien 01 24.10.03 01_traitement_A;Du coup, le verre avec le coupe-verre et la pige.;original;0
109_contextual;Entretien 01 24.10.03 01_traitement_A;Un coup, le verre avec ouverture coupe-verre devient la coupe l.;contextual;0
109_swap;Entretien 01 24.10.03 01_traitement_A;Du coup, le avec coupe verre le - verre la et. pige;swap;0
109_translation;Entretien 01 24.10.03 01_traitement_A;Le verre avec le coupe-verre et le pigeon.;translation;0
10_contextual;Entretien 01 24.10.03 01_traitement_A;Du coup, le mercredi, on arrivait à l' unité vers, sur simple connaissance, lundi 11.;contextual;0
10_swap;Entretien 01 24.10.03 01_traitement_A;Du, coup le, matin on arrivait à atelier l ' vers pour, ma part, . 7h;swap;0
10_translation;Entretien 01 24.10.03 01_traitement_A;Alors on est arrivés à l'atelier le matin, à 7 h, pour moi.;translation;0
11;Entretien 01 24.10.03 01_traitement_A;Chacun avait des horaires un peu différents.;original;0
110;Entretien 01 24.10.03 01_traitement_A;On vient mettre aussi de l'huile de coupe pour faire glisser la roulette en tungsten qui permet d'ouvrir plus facilement le verre et de le faire filer au lieu de faire une griffe qui n'a pas trop d'intérêt et qui risque de le faire filer.;original;0
110_contextual;Entretien 01 24.10.03 01_traitement_A;On devrait mettre aussi de l'huile aux massage pour laisser glisser la garniture en tung tuyaux qui permettent d'ouvrir plus facilement le verre et de les faire fuir au lieu de faire une griffe qui il'a pas trop d'intérêt et qui risque de le faire filer.;contextual;0
110_swap;Entretien 01 24.10.03 01_traitement_A;On vient mettre aussi de l ' de huile coupe pour glisser faire la en roulette tungsten qui d permet ' ouvrir plus le facilement verre et de faire le filer au lieu de faire une griffe qui n ' a pas d trop ' intérêt et de qui le risque faire filer.;swap;0
110_translation;Entretien 01 24.10.03 01_traitement_A;L'huile de coupe est également utilisée pour pousser la roulette de tungstène qui ouvre plus facilement le verre et le lance à la surface au lieu de faire une griffe qui n'a pas trop d'intérêt et qui peut disparaître.;translation;0
111;Entretien 01 24.10.03 01_traitement_A;Ça ne coupe pas réellement quand on n'a pas d'huile de coupe.;original;0
111_contextual;Entretien 01 24.10.03 01_traitement_A;Ca vous coupe rien réellement quand on ne'a pas d'huile sans palme.;contextual;0
111_swap;Entretien 01 24.10.03 01_traitement_A;Ne coupe ça pas réellement on quand ' n pas a d huile ' de coupe.;swap;0
111_translation;Entretien 01 24.10.03 01_traitement_A;Ça ne coupe pas vraiment quand on n'a pas d'huile de coupe.;translation;0
112;Entretien 01 24.10.03 01_traitement_A;Ça, c'est pour la coupe de verre.;original;0
112_contextual;Entretien 01 24.10.03 01_traitement_A;Ça, nous' attend pour la coupe des france.;contextual;0
112_swap;Entretien 01 24.10.03 01_traitement_A;, ça ' c pour est la de coupe verre.;swap;0
112_translation;Entretien 01 24.10.03 01_traitement_A;C'est pour la coupe de verre.;translation;0
113;Entretien 01 24.10.03 01_traitement_A;Et ensuite, pour la mise en plomb, on prend un couteau à plomb.;original;0
113_contextual;Entretien 01 24.10.03 01_traitement_A;Et ensuite, pour tout mise avant plomb, on range votre couteau à plat.;contextual;0
113_swap;Entretien 01 24.10.03 01_traitement_A;Et ensuite pour, en la mise plomb, prend on couteau un à plomb.;swap;0
113_translation;Entretien 01 24.10.03 01_traitement_A;Et on prendra un couteau à plomb.;translation;0
114;Entretien 01 24.10.03 01_traitement_A;C'est une espèce de serpette assez longue comme ça.;original;2
114_contextual;Entretien 01 24.10.03 01_traitement_A;Qu' été une espèce de se démarquerette intégrée facilement comme ça.;contextual;2
114_swap;Entretien 01 24.10.03 01_traitement_A;C est ' une de espèce serpette assez longue. comme ça;swap;2
114_translation;Entretien 01 24.10.03 01_traitement_A;C'est un chapeau assez long.;translation;2
115;Entretien 01 24.10.03 01_traitement_A;C'est un joli outil.;original;0
115_contextual;Entretien 01 24.10.03 01_traitement_A;' Un très joli outil.;contextual;0
115_swap;Entretien 01 24.10.03 01_traitement_A;' c joli est un outil.;swap;0
115_translation;Entretien 01 24.10.03 01_traitement_A;C'est un joli outil.;translation;0
116;Entretien 01 24.10.03 01_traitement_A;Du coup, on coupe le plomb avec le couteau à plomb.;original;0
116_contextual;Entretien 01 24.10.03 01_traitement_A;Du coup, on coupe le carton avec le faire faire coudre.;contextual;0
116_swap;Entretien 01 24.10.03 01_traitement_A;Du, coup on le coupe plomb avec le à plomb couteau.;swap;0
116_translation;Entretien 01 24.10.03 01_traitement_A;On coupera le plomb avec le couteau.;translation;0
117;Entretien 01 24.10.03 01_traitement_A;C'est tout ce qu'on utilise pour la mise en plomb.;original;0
117_contextual;Entretien 01 24.10.03 01_traitement_A;C'est habituellement ce qu'on utilise pour faire nourriture au place.;contextual;0
117_swap;Entretien 01 24.10.03 01_traitement_A;' est c ce tout qu ' utilise on pour la en mise plomb.;swap;0
117_translation;Entretien 01 24.10.03 01_traitement_A;C'est tout ce que nous utilisons pour l'utilisation du plomb.;translation;0
118;Entretien 01 24.10.03 01_traitement_A;Quand on a fini le vitrail, on vient rabattre les plombs avec un rabat-plomb.;original;0
118_contextual;Entretien 01 24.10.03 01_traitement_A;Lorsqu on on fini le vit til, on vient rabat le 5 plombs dans un rabat- bouchonomb.;contextual;0
118_swap;Entretien 01 24.10.03 01_traitement_A;Quand on fini a le vitrail vient, on rabattre les plombs avec un rabat -. plomb;swap;0
118_translation;Entretien 01 24.10.03 01_traitement_A;Une fois qu'on aura fini la fenêtre, on fera une valve.;translation;0
119;Entretien 01 24.10.03 01_traitement_A;Ah oui, on peut aussi ouvrir les plombs avec un ouvre-plomb.;original;0
119_contextual;Entretien 01 24.10.03 01_traitement_A;Ah oui, on devait aussi fermer les prisess grâce des ouvre-pls.;contextual;0
119_swap;Entretien 01 24.10.03 01_traitement_A;Ah, oui on peut aussi ouvrir les avec plombs ouvre un - plomb.;swap;0
119_translation;Entretien 01 24.10.03 01_traitement_A;Oui, on peut ouvrir l'esprit avec un ouvre-porte.;translation;0
11_contextual;Entretien 01 24.10.03 01_traitement_A;Chacun avait les dons un peu différent.;contextual;0
11_swap;Entretien 01 24.10.03 01_traitement_A;Avait chacun horaires des un peu. différents;swap;0
11_translation;Entretien 01 24.10.03 01_traitement_A;Tout le monde a eu un peu d'heures de travail différentes.;translation;0
12;Entretien 01 24.10.03 01_traitement_A;C'était 7h ou 7h30.;original;0
120;Entretien 01 24.10.03 01_traitement_A;C'est très...;original;0
120_contextual;Entretien 01 24.10.03 01_traitement_A;Elle'est là...;contextual;0
120_swap;Entretien 01 24.10.03 01_traitement_A;' c est très. ..;swap;0
