learning_rate;batch_size;max_length;num_epochs;r2;mae;rmse;mse
5e-05;16;128;7;0.8326787352561951;0.54848313331604;0.9876286157315648;0.9754102826118469
5e-05;32;256;7;0.8291313648223877;0.5724068284034729;0.9980431722732807;0.9960901737213135
5e-05;16;256;7;0.8283149003982544;0.556751549243927;1.000424652533782;1.0008494853973389
5e-05;16;128;5;0.7896145582199097;0.607299268245697;1.1074547064756832;1.2264559268951416
5e-05;16;256;5;0.7761601805686951;0.636895477771759;1.1423173655772465;1.3048889636993408
2e-05;16;256;7;0.7750222682952881;0.768325924873352;1.145217273287027;1.3115226030349731
2e-05;16;128;7;0.7405438423156738;0.820674479007721;1.2298442406229915;1.5125168561935425
5e-05;32;128;7;0.7180277109146118;0.731882631778717;1.2820983497220426;1.6437761783599854
2e-05;32;256;7;0.6150307655334473;0.9633728265762329;1.4980666894112098;2.244203805923462
5e-05;32;256;5;0.6103192567825317;0.957131564617157;1.5072059004117393;2.271669626235962
5e-05;32;128;5;0.5923545956611633;0.996032178401947;1.5415563372062144;2.3763959407806396
1e-05;16;256;7;0.5654997825622559;1.06477952003479;1.5915237286015507;2.5329477787017822
5e-05;16;128;3;0.5602304339408875;1.002699851989746;1.6011451735716555;2.5636658668518066
5e-05;16;256;3;0.550102710723877;0.969109296798706;1.6194770564697374;2.6227059364318848
2e-05;32;128;7;0.5417661666870117;1.0505406856536865;1.6344125747008342;2.67130446434021
2e-05;16;256;5;0.5277429819107056;1.0647190809249878;1.6592327825662538;2.7530534267425537
2e-05;16;128;5;0.519809365272522;1.0915513038635254;1.6731117878998911;2.7993030548095703
5e-05;32;256;3;0.324765682220459;1.3837484121322632;1.9840169268162897;3.9363231658935547
1e-05;16;128;7;0.28534460067749023;1.466742753982544;2.041110241900786;4.166131019592285
1e-05;32;256;7;0.2852397561073303;1.490567922592163;2.0412598678247567;4.166741847991943
1e-05;16;128;5;0.27087873220443726;1.4706830978393555;2.0616645276802004;4.250460624694824
2e-05;32;256;5;0.25643980503082275;1.4580073356628418;2.0819782300428393;4.3346333503723145
1e-05;32;128;7;0.23814600706100464;1.583896279335022;2.1074339801769457;4.441277980804443
2e-05;16;256;3;0.22077715396881104;1.5733671188354492;2.1313214242550957;4.5425310134887695
1e-05;16;256;5;0.21821284294128418;1.52188241481781;2.1348254866378276;4.5574798583984375
2e-05;16;128;3;0.21373528242111206;1.59231698513031;2.1409301540308308;4.583581924438477
2e-05;32;256;3;0.18169665336608887;1.658958911895752;2.1841138517166963;4.770353317260742
5e-05;32;128;3;0.14643758535385132;1.652246117591858;2.2306722624975146;4.975898742675781
2e-05;32;128;3;0.1368456482887268;1.701970100402832;2.243170758554166;5.031815052032471
1e-05;16;256;3;0.11529624462127686;1.760001301765442;2.2709995057320906;5.1574387550354
1e-05;32;256;5;0.09559577703475952;1.780216097831726;2.2961454725069808;5.272284030914307
1e-05;32;256;3;0.08987045288085938;1.7813125848770142;2.303401885864196;5.305660247802734
2e-05;32;128;5;0.07899272441864014;1.6743789911270142;2.317126003074398;5.369072914123535
1e-05;16;128;3;0.0681806206703186;1.7956733703613281;2.330687066804366;5.432102203369141
1e-05;32;128;5;0.0616876482963562;1.8166800737380981;2.3387931796093695;5.469953536987305
1e-05;32;128;3;0.06128615140914917;1.802821397781372;2.3392935537458577;5.472294330596924
