id;filename;text;augmentation_type;intimité;fertilité du language;fluidité;émotions;imaginaire; expert;Vulnerable
100_contextual;Entretien 01 25.03.13 01_traitement_A;Non. Je viens renvoyé d'école mais j' et rester quelques mois sans statut et ensuite j' es installé un entreprise ici.;contextual;1.0;1.0;1.0;1.0;1.0;1.0;1.0
100_original;Entretien 01 25.03.13 01_traitement_A;Non. Je suis sortie d'école et j'ai commencé quelques mois sans statut et puis j'ai installé mon entreprise directement.;original;1.0;1.0;1.0;1.0;1.0;1.0;1.0
100_swap;Entretien 01 25.03.13 01_traitement_A;Je non. sortie suis d école ' et j ' commencé ai quelques sans mois statut puis et j ' installé ai entreprise mon directement.;swap;1.0;1.0;1.0;1.0;1.0;1.0;1.0
100_translation;Entretien 01 25.03.13 01_traitement_A;Non, je suis sorti de l'école et j'ai commencé quelques mois sans statut, puis j'ai créé ma société directement.;translation;1.0;1.0;1.0;1.0;1.0;1.0;1.0
101_contextual;Entretien 01 25.03.13 01_traitement_A;Alors, on va chercher à trier les informations. Donc du coup, justement, m'ai une double activité. Par la fois, t'enseigne mais j'ai comme chargé d' enseignement.;contextual;1.0;1.0;1.0;1.0;1.0;1.0;1.0
101_original;Entretien 01 25.03.13 01_traitement_A;Alors, on va essayer de trier les informations. Donc du coup, moi, j'ai une double activité. À la fois, j'enseigne et j'ai mon activité d'artisan.;original;1.0;1.0;1.0;1.0;1.0;1.0;1.0
101_swap;Entretien 01 25.03.13 01_traitement_A;Alors, va on essayer de trier les informations Donc. du, coup moi, j ' ai double une activité À. la fois, j enseigne et ' ai j ' mon activité d '. artisan;swap;1.0;1.0;1.0;1.0;1.0;1.0;1.0
101_translation;Entretien 01 25.03.13 01_traitement_A;Donc nous essayons de trier l'information, donc j'ai une double activité, j'enseigne et je travaille en tant qu'artisan.;translation;1.0;1.0;1.0;1.0;1.0;1.0;1.0
102_contextual;Entretien 01 25.03.13 01_traitement_A;Le vois que c'est mon activité d'artisan qui est questionnée ... Et dans mon activité d'artisan, en termes de reliure, on fais bien mes fuséeeries. Je fais les codes moyens relativement compliqués possibles.;contextual;1.0;1.0;1.0;1.0;9.0;9.0;1.0
102_original;Entretien 01 25.03.13 01_traitement_A;Je suppose que c'est mon activité d'artisan qui est questionnée ici. Et dans mon activité d'artisan, en termes de reliure, je fais vraiment des fusées. Je fais les trucs les plus compliqués possibles.;original;1.0;1.0;1.0;1.0;9.0;9.0;1.0
102_swap;Entretien 01 25.03.13 01_traitement_A;Je suppose c que ' est mon d ' activité artisan qui est questionnée ici dans. Et mon activité d ' artisan, en de termes reliure, je vraiment fais des fusées. Je fais trucs les les plus compliqués possibles.;swap;1.0;1.0;1.0;1.0;9.0;9.0;1.0
102_translation;Entretien 01 25.03.13 01_traitement_A;Je suppose que c'est mon métier d'artisan qui est interrogé ici, et dans mon métier d'artisan, en ce qui concerne la couverture, je fais vraiment des roquettes, et je fais les choses les plus compliquées que je puisse faire.;translation;1.0;1.0;1.0;1.0;9.0;9.0;1.0
103_contextual;Entretien 01 25.03.13 01_traitement_A;Bien pour monter un livre, il me faut au minimum 3 semaines pour un seul livre. Suivre un journée type, pour moi, ça n'a pas de sens quand que le temps est extrêmement long donc que les étapes semblent tellement multiples qu'en fait, il n'y a pas de régularité. J'avance mon livre au fur puis à mesure de là si ça m'emmène.;contextual;8.0;5.0;5.0;1.0;1.0;8.0;7.0
103_original;Entretien 01 25.03.13 01_traitement_A;Donc pour monter un livre, il me faut au minimum 3 semaines pour un seul livre. Donc une journée type, pour moi, ça n'a pas de sens parce que le temps est très long et que les étapes sont tellement multiples qu'en fait, il n'y a pas de régularité. J'avance mon livre au fur et à mesure de là où il m'emmène.;original;8.0;5.0;5.0;1.0;1.0;8.0;7.0
