id;filename;text;augmentation_type;intimité;fertilité du language;fluidité;émotions;imaginaire; expert;Vulnerable;difficulté verbalisation
100_contextual;Entretien 01 25.03.13 01_traitement_A;Non. Je suis passionné par' études puis p'ai commencé quelques jours sans statut et puis j' veux créer mon entreprise ....;contextual;5.0;1.0;1.0;1.0;1.0;1.0;1.0;1
100_original;Entretien 01 25.03.13 01_traitement_A;Non. Je suis sortie d'école et j'ai commencé quelques mois sans statut et puis j'ai installé mon entreprise directement.;original;5.0;1.0;1.0;1.0;1.0;1.0;1.0;1
100_swap;Entretien 01 25.03.13 01_traitement_A;. non Je sortie suis d et ' école j ' ai commencé sans quelques mois statut et puis j ' ai mon entreprise directement installé.;swap;5.0;1.0;1.0;1.0;1.0;1.0;1.0;1
100_translation;Entretien 01 25.03.13 01_traitement_A;Non, je suis sorti de l'école et j'ai commencé quelques mois sans statut, puis j'ai créé ma société directement.;translation;5.0;1.0;1.0;1.0;1.0;1.0;1.0;1
101_contextual;Entretien 01 25.03.13 01_traitement_A;Alors, elle va essayer par trier les informations. Ensuite du type, pour, j'ai une double adresse. À A fois, j' Enseigne et puis'ai mon compte d'artisan.;contextual;5.0;1.0;1.0;1.0;1.0;1.0;1.0;1
101_original;Entretien 01 25.03.13 01_traitement_A;Alors, on va essayer de trier les informations. Donc du coup, moi, j'ai une double activité. À la fois, j'enseigne et j'ai mon activité d'artisan.;original;5.0;1.0;1.0;1.0;1.0;1.0;1.0;1
101_swap;Entretien 01 25.03.13 01_traitement_A;Alors, on va essayer trier de les. informations Donc coup du, , moi j ai ' double une. activité À la fois, j enseigne ' j et ' mon ai activité d ' artisan.;swap;5.0;1.0;1.0;1.0;1.0;1.0;1.0;1
101_translation;Entretien 01 25.03.13 01_traitement_A;Donc nous essayons de trier l'information, donc j'ai une double activité, j'enseigne et je travaille en tant qu'artisan.;translation;5.0;1.0;1.0;1.0;1.0;1.0;1.0;1
102_contextual;Entretien 01 25.03.13 01_traitement_A;Je suppose que j' autant notre activité principale'artisan qui est questionnée ici. Et dans mon activité d'artisan, en termes de confection, je fais vraiment des fusées. Comme crée des trucs que plus mignons possibles.;contextual;5.0;1.0;1.0;1.0;9.0;9.0;1.0;1
102_original;Entretien 01 25.03.13 01_traitement_A;Je suppose que c'est mon activité d'artisan qui est questionnée ici. Et dans mon activité d'artisan, en termes de reliure, je fais vraiment des fusées. Je fais les trucs les plus compliqués possibles.;original;5.0;1.0;1.0;1.0;9.0;9.0;1.0;1
102_swap;Entretien 01 25.03.13 01_traitement_A;Je suppose que c ' mon est activité ' d artisan qui est ici questionnée Et. dans mon activité d ' artisan, en termes de reliure, je fais vraiment des fusées. fais Je trucs les plus compliqués les possibles.;swap;5.0;1.0;1.0;1.0;9.0;9.0;1.0;1
102_translation;Entretien 01 25.03.13 01_traitement_A;Je suppose que c'est mon métier d'artisan qui est interrogé ici, et dans mon métier d'artisan, en ce qui concerne la couverture, je fais vraiment des roquettes, et je fais les choses les plus compliquées que je puisse faire.;translation;5.0;1.0;1.0;1.0;9.0;9.0;1.0;1
103_contextual;Entretien 01 25.03.13 01_traitement_A;Donc pour monter un livre, il me faudrait au final 3 semaines pour un seul livre. Donc un journée type, pour moi, ça n'a pas de sens parce que le temps est très long et que les étapes est tellement multiples qu' avec filigrane, il existe' il a pas de sens. J'avance mon livre au fur et à mesure de près où il m'emmène.;contextual;5.0;5.0;5.0;1.0;1.0;8.0;7.0;1
