learning_rate;batch_size;max_length;num_epochs;r2;mae;rmse;mse
5e-05;16;128;7;0.9039681553840637;0.49625614285469055;0.7516897557751987;0.5650374889373779
5e-05;16;256;7;0.8807791471481323;0.589506208896637;0.8375430153005816;0.7014783024787903
5e-05;16;256;5;0.876562774181366;0.5934485197067261;0.8522246699800227;0.7262868881225586
5e-05;32;128;7;0.85416579246521;0.635270893573761;0.9263192717972122;0.8580673933029175
5e-05;16;128;5;0.850776731967926;0.6926789879798889;0.9370208469441219;0.8780080676078796
5e-05;32;256;7;0.8434288501739502;0.6472645401954651;0.9598134607637027;0.9212418794631958
5e-05;16;256;3;0.8367513418197632;0.7229704260826111;0.9800670758472555;0.96053147315979
2e-05;16;256;7;0.8364478349685669;0.7054873108863831;0.9809776596399207;0.962317168712616
2e-05;16;128;7;0.8334699869155884;0.691173255443573;0.9898679156767053;0.979838490486145
5e-05;16;128;3;0.7961236834526062;0.769615650177002;1.0952528301969566;1.1995787620544434
5e-05;32;256;5;0.7929468154907227;0.855584442615509;1.1037532044274547;1.2182711362838745
2e-05;16;256;5;0.7910800576210022;0.8537687659263611;1.1087176027263277;1.2292547225952148
2e-05;32;256;7;0.7576225399971008;0.875838041305542;1.194200085378429;1.4261138439178467
2e-05;16;128;5;0.7401611804962158;0.909145176410675;1.236468314709289;1.5288538932800293
5e-05;32;128;5;0.7369506359100342;0.9210449457168579;1.2440837086544476;1.5477442741394043
1e-05;16;128;7;0.7098622918128967;0.9897110462188721;1.3065711945246974;1.7071282863616943
1e-05;16;256;7;0.6990758180618286;0.9647054672241211;1.3306369139862282;1.770594596862793
5e-05;32;128;3;0.6875855922698975;1.0124421119689941;1.3558028191475961;1.8382012844085693
2e-05;32;128;7;0.6621091365814209;1.024322748184204;1.410000356579458;1.9881010055541992
2e-05;16;256;3;0.6357104778289795;1.1478992700576782;1.4640447039423357;2.1434268951416016
5e-05;32;256;3;0.6353627443313599;1.045824646949768;1.4647432419946071;2.145472764968872
1e-05;16;128;5;0.5206069946289062;1.2161897420883179;1.6794877044373022;2.820678949356079
1e-05;32;256;7;0.5145993232727051;1.271119236946106;1.6899785806777001;2.856027603149414
2e-05;16;128;3;0.5115706324577332;1.2012954950332642;1.6952426737807194;2.873847723007202
1e-05;16;256;5;0.5048621892929077;1.2430599927902222;1.706844852143551;2.9133193492889404
2e-05;32;256;5;0.46301716566085815;1.2981901168823242;1.777506525320102;3.159529447555542
1e-05;32;128;7;0.43855178356170654;1.3246232271194458;1.8175478393471325;3.3034801483154297
2e-05;32;256;3;0.4365459680557251;1.3879039287567139;1.8207916153144863;3.315282106399536
1e-05;16;256;3;0.41999292373657227;1.430851936340332;1.8473434344735626;3.412677764892578
2e-05;32;128;5;0.3865166902542114;1.3982113599777222;1.899907112360695;3.609647035598755
2e-05;32;128;3;0.361935019493103;1.414794921875;1.9375969647170344;3.754281997680664
1e-05;16;128;3;0.3312763571739197;1.502431869506836;1.9836010963210753;3.934673309326172
1e-05;32;128;5;0.27720487117767334;1.519797682762146;2.062237115925869;4.252821922302246
1e-05;32;256;5;0.27141064405441284;1.5389149188995361;2.070486615614661;4.286914825439453
1e-05;32;256;3;0.25785332918167114;1.72728431224823;2.0896612069809155;4.3666839599609375
1e-05;32;128;3;0.2281927466392517;1.7326277494430542;2.1310097477876573;4.541202545166016
