learning_rate;batch_size;max_length;num_epochs;r2;mae;rmse;mse
5e-05;16;128;7;0.8769393563270569;0.3974074125289917;0.6582892387044834;0.4333447217941284
5e-05;16;256;7;0.8731382489204407;0.44357138872146606;0.6683785146517758;0.446729838848114
5e-05;16;128;5;0.861529529094696;0.48706698417663574;0.6982898615854302;0.48760873079299927
5e-05;32;256;7;0.8183554410934448;0.5739200115203857;0.7997759579818906;0.6396415829658508
5e-05;32;128;7;0.8033332228660583;0.5712215900421143;0.8321902700701116;0.6925406455993652
2e-05;16;128;7;0.7523512244224548;0.6068806052207947;0.9338459328697817;0.8720682263374329
5e-05;16;256;5;0.7249128818511963;0.6508141160011292;0.9842201595535517;0.9686893224716187
2e-05;16;256;7;0.7225985527038574;0.6124910116195679;0.9883516610736853;0.976839005947113
2e-05;32;128;7;0.604620099067688;0.7834911942481995;1.179952275959831;1.3922873735427856
2e-05;32;256;7;0.5643446445465088;0.8336864113807678;1.2385931735267803;1.5341130495071411
5e-05;32;128;5;0.5100579857826233;0.8592979311943054;1.313498208246944;1.7252775430679321
1e-05;16;256;7;0.5060871839523315;0.9518444538116455;1.3188101894871302;1.7392603158950806
5e-05;16;128;3;0.47651344537734985;0.8945235013961792;1.3577190705037199;1.8434010744094849
1e-05;16;128;7;0.3932688236236572;1.0171781778335571;1.4616901274610297;2.136538028717041
1e-05;32;256;7;0.3546489477157593;1.1180685758590698;1.5074924267630823;2.272533416748047
2e-05;16;256;5;0.34537363052368164;1.048506498336792;1.5182870512495539;2.3051955699920654
5e-05;16;256;3;0.3256630301475525;1.0064927339553833;1.5409750890779161;2.3746042251586914
5e-05;32;256;5;0.320426881313324;1.004453420639038;1.5469462831044487;2.393042802810669
1e-05;32;128;7;0.31178563833236694;1.1505653858184814;1.556750515034892;2.4234721660614014
2e-05;16;128;5;0.29808223247528076;1.1308149099349976;1.5721727426708687;2.471727132797241
1e-05;16;128;5;0.2613142132759094;1.1043155193328857;1.6128240865857753;2.6012015342712402
2e-05;16;128;3;0.2290446162223816;1.1348739862442017;1.64767575856105;2.7148354053497314
5e-05;32;128;3;0.22567880153656006;1.1337026357650757;1.65126850322836;2.7266876697540283
1e-05;16;128;3;0.16344177722930908;1.318566083908081;1.7163474891129709;2.9458487033843994
2e-05;32;128;3;0.15944212675094604;1.3365199565887451;1.7204455941779284;2.959933042526245
1e-05;16;256;5;0.1574103832244873;1.2349692583084106;1.7225235868480655;2.967087507247925
2e-05;32;256;3;0.14519155025482178;1.3582731485366821;1.7349682729716944;3.010114908218384
5e-05;32;256;3;0.12487506866455078;1.2191444635391235;1.7554649444661063;3.0816571712493896
1e-05;32;256;3;0.12397563457489014;1.3935825824737549;1.7563667964449154;3.084824323654175
1e-05;32;128;3;0.12027794122695923;1.3568757772445679;1.7600697583765839;3.0978455543518066
2e-05;32;128;5;0.11247771978378296;1.303162693977356;1.7678555602800075;3.1253132820129395
2e-05;16;256;3;0.11079007387161255;1.2481207847595215;1.7695355615289636;3.131256103515625
1e-05;16;256;3;0.10518127679824829;1.386204719543457;1.7751075846345137;3.1510069370269775
1e-05;32;128;5;0.08622300624847412;1.3244339227676392;1.7938133361480584;3.217766284942627
1e-05;32;256;5;0.08573609590530396;1.3265894651412964;1.7942911561240407;3.2194807529449463
2e-05;32;256;5;0.05257284641265869;1.3374087810516357;1.8265436620205875;3.336261749267578
