learning_rate;batch_size;max_length;num_epochs;r2;mae;rmse;mse
5e-05;16;256;7;0.853492259979248;0.7149801254272461;1.108574269333937;1.2289369106292725
5e-05;16;128;7;0.8388036489486694;0.774770200252533;1.1628190125854811;1.3521480560302734
5e-05;32;256;7;0.8204749822616577;0.798512876033783;1.22714807418388;1.5058923959732056
5e-05;16;256;5;0.8033871650695801;0.8330762982368469;1.284223037974338;1.649228811264038
5e-05;32;128;7;0.7804270386695862;0.900079607963562;1.3571377024516829;1.8418227434158325
2e-05;16;128;7;0.7799510955810547;0.9018392562866211;1.3586077223811142;1.8458149433135986
5e-05;16;128;5;0.7679844498634338;0.9127069711685181;1.3950605055973913;1.946193814277649
2e-05;16;128;5;0.7625395655632019;0.977611780166626;1.4113351221489205;1.9918668270111084
2e-05;16;256;7;0.7400568723678589;0.9782857894897461;1.4766367737189208;2.1804561614990234
5e-05;16;128;3;0.7235790491104126;1.017311692237854;1.5227198548828567;2.3186757564544678
5e-05;32;128;5;0.7107012271881104;1.0467808246612549;1.5577860103945305;2.426697254180908
5e-05;32;256;5;0.7084844708442688;1.1431481838226318;1.5637428681159886;2.445291757583618
2e-05;32;256;7;0.6732627153396606;1.138851284980774;1.6555177761449613;2.740739107131958
5e-05;32;128;3;0.6643296480178833;1.1648468971252441;1.677996329661596;2.815671682357788
1e-05;16;128;7;0.6353386044502258;1.2312606573104858;1.7489580731129486;3.058854341506958
5e-05;32;256;3;0.6323399543762207;1.250320553779602;1.7561343171923816;3.084007740020752
2e-05;16;256;5;0.625766396522522;1.26004159450531;1.771764024491943;3.1391477584838867
2e-05;32;128;7;0.6179823875427246;1.225127935409546;1.79009553494526;3.204442024230957
5e-05;16;256;3;0.6133259534835815;1.3539539575576782;1.8009720905986057;3.2435004711151123
1e-05;16;256;7;0.5822040438652039;1.335729956626892;1.8720464331785909;3.5045578479766846
2e-05;16;256;3;0.5656671524047852;1.4144690036773682;1.9087359368806105;3.643272876739502
2e-05;32;128;5;0.5382404327392578;1.489747166633606;1.9680786199062477;3.87333345413208
2e-05;16;128;3;0.5199891328811646;1.4275507926940918;2.0065964159069374;4.026429176330566
2e-05;32;256;5;0.5059329867362976;1.5121581554412842;2.0357640506522308;4.1443352699279785
1e-05;16;128;5;0.4941416382789612;1.519980788230896;2.05991340047786;4.243243217468262
1e-05;32;256;7;0.49211734533309937;1.5897216796875;2.064030974939338;4.260223865509033
1e-05;16;256;5;0.4562385678291321;1.6221626996994019;2.135692398753792;4.561182022094727
1e-05;32;128;7;0.41648608446121216;1.6949313879013062;2.2123819222704326;4.894633769989014
2e-05;32;256;3;0.3654179573059082;1.8121470212936401;2.3071635765417455;5.323003768920898
1e-05;16;128;3;0.35843509435653687;1.8609205484390259;2.3198227285204904;5.381577491760254
2e-05;32;128;3;0.3104763627052307;1.9624532461166382;2.4049667305340394;5.783864974975586
1e-05;16;256;3;0.2877735495567322;2.010579824447632;2.444238298807758;5.974300861358643
1e-05;32;128;5;0.1941680908203125;2.1908202171325684;2.5999005482066395;6.7594828605651855
1e-05;32;256;3;0.16344481706619263;2.3400497436523438;2.648999089927416;7.017196178436279
1e-05;32;256;5;0.1552460789680481;2.2489469051361084;2.6619482516411326;7.085968494415283
1e-05;32;128;3;0.13183307647705078;2.3929858207702637;2.6985850936028997;7.2823615074157715
