learning_rate;batch_size;max_length;num_epochs;r2;mae;rmse;mse
5e-05;16;256;7;0.784430742263794;0.6253688931465149;1.046598654185457;1.09536874294281
5e-05;32;128;7;0.7813400030136108;0.665903627872467;1.0540747664026537;1.111073613166809
5e-05;32;256;7;0.746119499206543;0.708695650100708;1.1357988653366404;1.2900390625
5e-05;16;128;7;0.7322407960891724;0.6703634262084961;1.1664307844030701;1.3605607748031616
2e-05;16;128;7;0.7294294834136963;0.754061222076416;1.1725381627816305;1.3748457431793213
5e-05;16;256;5;0.7283010482788086;0.7553233504295349;1.1749807275043764;1.3805797100067139
2e-05;16;256;7;0.6925781965255737;0.844893217086792;1.2498390094082024;1.5620975494384766
5e-05;16;128;5;0.6925060749053955;0.780144989490509;1.2499855994348719;1.5624639987945557
5e-05;16;128;3;0.6742265224456787;0.8168690800666809;1.2866032115989294;1.6553478240966797
5e-05;32;256;5;0.6257143020629883;0.8686327338218689;1.3790765500471294;1.9018521308898926
5e-05;32;128;5;0.5860779285430908;1.0578559637069702;1.45026066180096;2.1032559871673584
5e-05;16;256;3;0.5843123197555542;0.9562414884567261;1.4533503367948803;2.112227201461792
2e-05;16;128;5;0.5806125402450562;0.967684805393219;1.459803666539624;2.1310267448425293
2e-05;16;256;5;0.5714697241783142;0.943248987197876;1.475630127745609;2.1774842739105225
2e-05;32;128;7;0.5662064552307129;0.9003264307975769;1.4846643266292563;2.204228162765503
1e-05;16;256;7;0.5140737295150757;1.0249851942062378;1.5713464170506546;2.4691295623779297
2e-05;32;256;7;0.5107465982437134;1.0105229616165161;1.5767167105740467;2.4860355854034424
5e-05;32;256;3;0.47696518898010254;1.0774908065795898;1.6302418893238815;2.657688617706299
1e-05;16;128;7;0.44797205924987793;1.161057949066162;1.6748167165429897;2.805011034011841
5e-05;32;128;3;0.4095193147659302;1.149225115776062;1.7321664305755642;3.0004005432128906
2e-05;16;256;3;0.3854902982711792;1.2711552381515503;1.7670592837446248;3.1224985122680664
2e-05;32;256;5;0.32460248470306396;1.2880713939666748;1.8525352658970387;3.431886911392212
1e-05;16;128;5;0.3076311945915222;1.3144100904464722;1.8756659914423055;3.518122911453247
2e-05;32;128;5;0.2966501712799072;1.287245273590088;1.8904815493301024;3.573920488357544
2e-05;16;128;3;0.2921752333641052;1.36318039894104;1.8964859464503336;3.596658945083618
1e-05;32;256;7;0.2591659426689148;1.337961196899414;1.9402032267906317;3.7643885612487793
1e-05;32;128;7;0.2540709376335144;1.391727328300476;1.9468636207799097;3.7902779579162598
1e-05;16;256;5;0.2309017777442932;1.426257848739624;1.976867953736263;3.9080069065093994
2e-05;32;256;3;0.20043706893920898;1.4627677202224731;2.0156404952998748;4.062806606292725
1e-05;16;256;3;0.19561702013015747;1.5624675750732422;2.021706919928472;4.08729887008667
2e-05;32;128;3;0.15143269300460815;1.550798773765564;2.0764902898835604;4.311811923980713
1e-05;16;128;3;0.10633236169815063;1.6916004419326782;2.130957387038975;4.540979385375977
1e-05;32;128;5;0.10423803329467773;1.713512659072876;2.133452937627815;4.551621437072754
1e-05;32;256;3;0.07829838991165161;1.7751072645187378;2.164122983452212;4.6834282875061035
1e-05;32;256;5;0.05732208490371704;1.737213373184204;2.1886102311295477;4.790014743804932
1e-05;32;128;3;0.03793877363204956;1.8339694738388062;2.2109968089853185;4.888506889343262
