learning_rate;batch_size;max_length;num_epochs;r2;mae;rmse;mse
5e-05;32;256;7;0.9634086489677429;0.30206769704818726;0.48735640868648833;0.23751626908779144
5e-05;32;128;7;0.9603864550590515;0.32885846495628357;0.5070833399837162;0.25713351368904114
2e-05;16;128;7;0.9379058480262756;0.3867925703525543;0.6348670761025494;0.40305620431900024
5e-05;16;256;7;0.8881636261940002;0.39262038469314575;0.852018531691801;0.7259355783462524
2e-05;16;256;7;0.8853166699409485;0.45383915305137634;0.8627951103317719;0.7444154024124146
5e-05;16;128;7;0.8662023544311523;0.36714160442352295;0.9319267233521671;0.8684874176979065
5e-05;32;256;5;0.8059739470481873;0.6423981785774231;1.1222446395871772;1.2594330310821533
5e-05;16;256;5;0.7398725748062134;0.6528111696243286;1.2994230585720035;1.6885002851486206
2e-05;32;256;7;0.7083581686019897;0.7239087820053101;1.375885851477875;1.893061876296997
5e-05;16;128;5;0.7049914598464966;0.5307784080505371;1.3838047842399284;1.914915680885315
2e-05;32;128;7;0.699038565158844;0.7591531872749329;1.39769665578112;1.953555941581726
5e-05;32;128;5;0.5880622863769531;0.8459086418151855;1.6352089995046986;2.6739084720611572
1e-05;16;256;7;0.5388180017471313;0.8166081309318542;1.7301894537324185;2.9935555458068848
5e-05;16;256;3;0.4786146879196167;0.9917391538619995;1.8396572010363315;3.384338617324829
2e-05;16;128;5;0.43296146392822266;0.9883237481117249;1.9185087915954295;3.680675983428955
2e-05;16;256;5;0.2844662666320801;1.047835111618042;2.1551254214721216;4.644565582275391
1e-05;32;256;7;0.28181833028793335;1.0710877180099487;2.1591094586611352;4.6617536544799805
5e-05;16;128;3;0.2505720257759094;1.0548205375671387;2.2055781349138837;4.864574909210205
1e-05;16;128;7;0.2386707067489624;1.1346195936203003;2.2230221090242654;4.941827297210693
1e-05;32;128;7;0.2258102297782898;1.083739995956421;2.2417192668014168;5.025305271148682
2e-05;16;256;3;0.20498806238174438;1.2051349878311157;2.271665216596126;5.160462856292725
1e-05;16;128;5;0.1779664158821106;1.1025797128677368;2.309948415634394;5.335861682891846
5e-05;32;128;3;0.15980082750320435;1.224533200263977;2.335331969096426;5.453775405883789
2e-05;32;128;5;0.13384389877319336;1.1045485734939575;2.3711312556560578;5.622263431549072
2e-05;16;128;3;0.11825931072235107;1.2721208333969116;2.392367756217164;5.723423480987549
2e-05;32;256;5;0.11813539266586304;1.1563657522201538;2.3925358733514193;5.7242279052734375
1e-05;16;256;5;0.10908931493759155;1.11532723903656;2.4047757871803532;5.782946586608887
2e-05;32;128;3;0.10161709785461426;1.2323853969573975;2.414839338720039;5.831449031829834
2e-05;32;256;3;0.09153109788894653;1.1649425029754639;2.428357020698729;5.896917819976807
1e-05;16;256;3;0.08488750457763672;1.2278791666030884;2.4372200438313367;5.940041542053223
1e-05;16;128;3;0.06751692295074463;1.1782617568969727;2.4602428606377647;6.052794933319092
5e-05;32;256;3;0.06689894199371338;1.3786057233810425;2.4610580172623022;6.056806564331055
1e-05;32;128;3;0.05914044380187988;1.2198997735977173;2.4712683472171775;6.1071672439575195
1e-05;32;256;3;0.05598932504653931;1.1932936906814575;2.475403234598081;6.127621173858643
1e-05;32;256;5;0.03533530235290527;1.238817572593689;2.5023363640301355;6.261687278747559
1e-05;32;128;5;0.03359907865524292;1.2289131879806519;2.5045873516048203;6.272957801818848
