learning_rate;batch_size;max_length;num_epochs;r2;mae;rmse;mse
5e-05;16;256;7;0.9101462960243225;0.48677659034729004;0.7271080839941414;0.5286861658096313
5e-05;16;128;7;0.9022850394248962;0.5235776305198669;0.7582484692118833;0.5749407410621643
5e-05;32;256;7;0.8901867270469666;0.5216473340988159;0.8038192805781426;0.6461254358291626
5e-05;16;256;5;0.8766711354255676;0.5844631195068359;0.8518504784483903;0.7256492376327515
2e-05;16;128;7;0.8739832043647766;0.5988408923149109;0.861083430611;0.7414646744728088
2e-05;16;256;7;0.8662768602371216;0.635903000831604;0.8870217901991737;0.786807656288147
5e-05;32;128;7;0.866097092628479;0.5899339914321899;0.8876177897663421;0.7878653407096863
2e-05;16;256;5;0.8032519221305847;0.8157335519790649;1.0759355732160694;1.157637357711792
2e-05;32;256;7;0.7915599346160889;0.8022646903991699;1.1074435654118926;1.2264312505722046
5e-05;32;256;5;0.78792804479599;0.796957790851593;1.117050002379964;1.2478007078170776
5e-05;16;128;3;0.7858523726463318;0.8078679442405701;1.1225033182719573;1.2600136995315552
5e-05;16;256;3;0.7676251530647278;0.7768634557723999;1.1692989773609384;1.3672600984573364
5e-05;16;128;5;0.7483298182487488;0.8038404583930969;1.2168775014356894;1.4807908535003662
1e-05;16;256;7;0.7443004846572876;0.908395528793335;1.2265801398108307;1.504498839378357
5e-05;32;128;5;0.7424294948577881;0.7950810790061951;1.2310595834723363;1.515507698059082
2e-05;16;128;5;0.7323546409606934;0.8692096471786499;1.2549049464548463;1.5747864246368408
2e-05;16;256;3;0.6959665417671204;0.9746251702308655;1.3374935256943916;1.788888931274414
1e-05;16;128;7;0.6831139326095581;0.9625653028488159;1.365471247696832;1.8645117282867432
2e-05;32;128;7;0.6570508480072021;1.0280681848526;1.420515227668885;2.0178635120391846
5e-05;32;128;3;0.6414716243743896;0.95556640625;1.4524218591100448;2.1095292568206787
1e-05;32;256;7;0.5993409752845764;1.1613680124282837;1.5353891132975992;2.357419729232788
5e-05;32;256;3;0.5323815941810608;1.1600638628005981;1.6587341680396435;2.751399040222168
1e-05;16;128;5;0.5213585495948792;1.1546880006790161;1.6781707302802902;2.8162569999694824
2e-05;16;128;3;0.5186706781387329;1.138779640197754;1.6828761153385672;2.8320720195770264
1e-05;16;256;5;0.48905521631240845;1.2074006795883179;1.7338758557988354;3.0063254833221436
2e-05;32;256;5;0.4724161624908447;1.22774076461792;1.7618816833261077;3.104227066040039
1e-05;32;128;7;0.4638698101043701;1.314683437347412;1.7760947733198493;3.154512643814087
1e-05;16;256;3;0.46133553981781006;1.3045505285263062;1.7802875662623319;3.169423818588257
2e-05;32;128;5;0.44673871994018555;1.300424575805664;1.8042476497855253;3.255309581756592
2e-05;32;256;3;0.42678695917129517;1.3784571886062622;1.8364919271730484;3.3727025985717773
2e-05;32;128;3;0.39327991008758545;1.3755052089691162;1.889405479879338;3.5698530673980713
1e-05;16;128;3;0.3263699412345886;1.469273328781128;1.990864572526099;3.9635417461395264
1e-05;32;128;5;0.2965494990348816;1.493621587753296;2.0344534628836217;4.13900089263916
1e-05;32;256;3;0.28651589155197144;1.6330927610397339;2.0489112102582614;4.198037147521973
1e-05;32;256;5;0.2693520784378052;1.51210618019104;2.073409387761571;4.2990264892578125
1e-05;32;128;3;0.2662052512168884;1.6427181959152222;2.077869600362554;4.31754207611084
