learning_rate;batch_size;max_length;num_epochs;r2;mae;rmse;mse
5e-05;16;128;7;0.8478516340255737;0.49273520708084106;0.8232691569226572;0.6777721047401428
5e-05;16;256;7;0.8464393615722656;0.4356973171234131;0.8270810943176045;0.6840631365776062
5e-05;16;256;5;0.8261269927024841;0.623839795589447;0.8800842528758449;0.7745482921600342
5e-05;16;128;5;0.787783145904541;0.5631344318389893;0.972295150216576;0.9453578591346741
5e-05;32;128;7;0.7840834856033325;0.6015073657035828;0.9807337368645779;0.9618386626243591
5e-05;32;256;7;0.7784292697906494;0.5524334907531738;0.9934919598085604;0.9870262742042542
2e-05;16;128;7;0.7747972011566162;0.5801255106925964;1.0016018435744605;1.0032062530517578
2e-05;16;256;7;0.7663446664810181;0.5723764300346375;1.0202252010368538;1.0408594608306885
2e-05;32;128;7;0.7036666870117188;0.7516886591911316;1.1489427454223322;1.320069432258606
2e-05;32;256;7;0.6796333193778992;0.7207628488540649;1.194625707051554;1.4271305799484253
5e-05;32;128;5;0.6649320125579834;0.80133056640625;1.2217283780452468;1.4926202297210693
1e-05;16;256;7;0.6608293056488037;0.8170557022094727;1.229185179662568;1.5108962059020996
2e-05;16;256;5;0.6461756229400635;0.8376175761222839;1.2554576462620801;1.5761739015579224
5e-05;16;256;3;0.645189642906189;0.8033508658409119;1.2572056508869707;1.5805660486221313
5e-05;16;128;3;0.6451509594917297;0.8336931467056274;1.2572742044815928;1.5807384252548218
5e-05;32;256;5;0.6281006336212158;0.8052726984024048;1.2871255830198673;1.6566922664642334
2e-05;16;128;5;0.5105748176574707;1.0046391487121582;1.476560885312444;2.180232048034668
1e-05;16;128;7;0.5067726373672485;1.0371465682983398;1.482285082389843;2.197169065475464
2e-05;16;256;3;0.4548390507698059;1.138974905014038;1.558369938357581;2.4285168647766113
1e-05;32;256;7;0.42605024576187134;1.1116536855697632;1.5989877240423653;2.5567617416381836
1e-05;32;128;7;0.3993709087371826;1.0998663902282715;1.635728996565283;2.6756093502044678
5e-05;32;256;3;0.3839914798736572;1.1321909427642822;1.656538596291133;2.7441201210021973
1e-05;16;128;5;0.3670504093170166;1.1614481210708618;1.6791625156146188;2.819586753845215
2e-05;32;128;5;0.34972018003463745;1.141258955001831;1.7019951248502558;2.896787405014038
2e-05;16;128;3;0.3388715386390686;1.1574434041976929;1.716133623171385;2.9451146125793457
5e-05;32;128;3;0.33841466903686523;1.2485469579696655;1.7167265338396607;2.9471499919891357
2e-05;32;256;5;0.3172945976257324;1.158716082572937;1.743913146559811;3.0412330627441406
1e-05;16;256;3;0.28129565715789795;1.289674997329712;1.7893006278733485;3.201596736907959
1e-05;16;256;5;0.26057344675064087;1.307344675064087;1.814912571548421;3.293907642364502
2e-05;32;128;3;0.22951388359069824;1.320836067199707;1.8526380931745996;3.432267904281616
2e-05;32;256;3;0.21600443124771118;1.3701481819152832;1.8688093348240578;3.492448329925537
1e-05;16;128;3;0.20835918188095093;1.320191502571106;1.8778991538038723;3.5265052318573
1e-05;32;128;5;0.20587235689163208;1.3766810894012451;1.8808463820090877;3.537583112716675
1e-05;32;256;3;0.18271666765213013;1.4731166362762451;1.9080708671660516;3.6407344341278076
1e-05;32;128;3;0.17561233043670654;1.388951301574707;1.9163460325102428;3.672382116317749
1e-05;32;256;5;0.12885445356369019;1.450108528137207;1.9699424886296302;3.880673408508301
