tool,count
verre,344
marteau,50
niveau,41
coupe-verre,23
masse,18
moule,18
chalumeau,16
lame,16
tas,14
chaîne,13
pointe,13
crayon,13
équerre,12
tour,12
couteau,11
règle,10
pince,10
scie,10
enclume,8
burin,8
ciseau,7
batte,7
pinceau,6
filière,6
machine à coudre,6
faux,5
craie,5
fiche,5
serpette,4
ordinateur,4
élastique,4
pointe à tracer,4
roule,3
clé,3
poinçon,3
mètre,3
établi,2
coin,2
sécateur,2
fer à souder,1
chasse,1
bol,1
éponge,1
échafaudage,1
plane,1
lime,1
clé plate,1
cliquet,1
écrou,1
maillet,1
compas,1
étau,1
pioche,1
échelle,1
mètre ruban,1
