filename,text,word_count,tools,tool_number
Entretien 01 24.10.03 01_traitement_A,Une journée de travail en entreprise ou une journée de travail ici au BIP ?,15,,0
Entretien 01 24.10.03 01_traitement_A,Dans l'entreprise ?,3,,0
Entretien 01 24.10.03 01_traitement_A,Ça dépend un peu parce que du coup j'ai eu deux aspects très différents.,14,,0
Entretien 01 24.10.03 01_traitement_A,J'ai été dans deux entreprises.,5,,0
Entretien 01 24.10.03 01_traitement_A,"L'entreprise où j'ai fait mon CAP, c'était grosse entreprise.",9,,0
Entretien 01 24.10.03 01_traitement_A,C'est juste pour poser aussi le contexte.,7,,0
Entretien 01 24.10.03 01_traitement_A,"Grosse entreprise, on était beaucoup.",5,,0
Entretien 01 24.10.03 01_traitement_A,C'était du travail un peu à la chaîne.,8,,0
Entretien 01 24.10.03 01_traitement_A,Restauration d'églises principalement ou bien création pour des grandes baies d'églises.,11,,0
Entretien 01 24.10.03 01_traitement_A,"Du coup, le matin, on arrivait à l'atelier vers, pour ma part, 7h.",13,,0
Entretien 01 24.10.03 01_traitement_A,Chacun avait des horaires un peu différents.,7,,0
Entretien 01 24.10.03 01_traitement_A,C'était 7h ou 7h30.,4,,0
Entretien 01 24.10.03 01_traitement_A,"7h, c'était plutôt pour aller en chantier directement pour partir sur le terrain, déposer les vitraux, reposer les vitraux.",19,,0
Entretien 01 24.10.03 01_traitement_A,"Ou alors, on était en atelier.",6,,0
Entretien 01 24.10.03 01_traitement_A,C'était un peu une façon ancienne de travailler là-bas où c'était les filles plutôt en atelier et les garçons plutôt en chantier.,22,,0
Entretien 01 24.10.03 01_traitement_A,"Moi, j'avais du coup les deux aspects parce que j'étais performante dans les deux.",14,,0
Entretien 01 24.10.03 01_traitement_A,"Sinon, quand c'était en atelier, ce que je faisais, c'est on arrive, on se change, on enlève les vêtements de ville, on va dans le vestiaire sale où on met les vêtements de travail, chaussures de sécurité, tout l'accoutrement.",39,,0
Entretien 01 24.10.03 01_traitement_A,"On descend, on va dans l'atelier.",6,,0
Entretien 01 24.10.03 01_traitement_A,"Et là, on commence à travailler sur notre table, sur notre établi où on restaure les panneaux à la chaîne un peu.",22,,0
Entretien 01 24.10.03 01_traitement_A,"Repiquage, dépiquage, ça veut dire enlever une pièce, remettre une pièce ancienne, nouvelle, remettre d'équerre, remettre aux mesures ou monter un panneau complètement qui a été coupé par d'autres.",29,,0
Entretien 01 24.10.03 01_traitement_A,"Il y avait les coupeuses, les monteuses, les réstoratrices.",9,,0
Entretien 01 24.10.03 01_traitement_A,"C'était très scindé comme travail, on n'avait pas de tout.",10,,0
Entretien 01 24.10.03 01_traitement_A,"Et après, quand on finissait, on le mettait sur le côté et on en reprenait un autre.",17,,0
Entretien 01 24.10.03 01_traitement_A,C'était comme ça un peu toute la journée où c'était à la chaîne.,13,,0
Entretien 01 24.10.03 01_traitement_A,"Et après, du coup, pause de 10 heures où on boit un petit café le matin.",16,,0
Entretien 01 24.10.03 01_traitement_A,"On reprend le travail, c'était 5 minutes, 5-10 minutes de petite pause.",12,,0
Entretien 01 24.10.03 01_traitement_A,"Et à midi, on va dans les vestiaires, on se change, on mange pendant une heure et puis, rebelote, on se rechange, on va à l'atelier.",26,,0
Entretien 01 24.10.03 01_traitement_A,"Et des fois, on finissait, ça dépendait.",7,,0
Entretien 01 24.10.03 01_traitement_A,"Si on avait des heures sup, des fois, 17h30.",9,,0
Entretien 01 24.10.03 01_traitement_A,"Des fois, encore 2 heures sup, 16h.",7,,0
Entretien 01 24.10.03 01_traitement_A,C'était très variable.,3,,0
Entretien 01 24.10.03 01_traitement_A,C'était très ouvrier comme façon de faire.,7,,0
Entretien 01 24.10.03 01_traitement_A,Voilà,1,,0
Entretien 01 24.10.03 01_traitement_A,"Et dans l'autre entreprise où j'étais, où j'ai appris le vitrail en Belgique, là, c'était un peu plus chill.",19,,0
Entretien 01 24.10.03 01_traitement_A,"Où on arrivait, on avait un projet, on était deux du coup.",12,,0
Entretien 01 24.10.03 01_traitement_A,C'était moins à la chaîne.,5,,0
Entretien 01 24.10.03 01_traitement_A,"C'était vraiment, on avait un vitrail à restaurer ou une création à faire et il nous durait pendant toute la semaine.",21,,0
Entretien 01 24.10.03 01_traitement_A,"Et qu'on prenait vraiment bien le temps de le faire, de le restaurer, de le créer.",16,,0
