param_tfidf__max_features;param_tfidf__ngram_range;param_tfidf__min_df;param_tfidf__max_df;param_ridge__alpha;mean_test_score;std_test_score;rank_test_score
5000;(1, 4);2;0.7;1.0;1.5609853008594856;0.18724444757787656;1
5000;(1, 4);2;0.8;1.0;1.5609853008594856;0.18724444757787656;1
5000;(1, 4);2;0.6;1.0;1.5609853008594856;0.18724444757787656;1
5000;(1, 4);2;0.9;1.0;1.5609853008594856;0.18724444757787656;1
5000;(1, 4);1;0.7;1.0;1.5620086312221884;0.18173049718074394;5
5000;(1, 4);1;0.8;1.0;1.5620086312221884;0.18173049718074394;5
5000;(1, 4);1;0.6;1.0;1.5620086312221884;0.18173049718074394;5
5000;(1, 4);1;0.9;1.0;1.5620086312221884;0.18173049718074394;5
5000;(1, 4);3;0.7;1.0;1.56260343456632;0.1933136638004445;9
4000;(1, 4);3;0.8;1.0;1.56260343456632;0.1933136638004445;9
5000;(1, 4);3;0.8;1.0;1.56260343456632;0.1933136638004445;9
5000;(1, 4);3;0.6;1.0;1.56260343456632;0.1933136638004445;9
4000;(1, 4);3;0.6;1.0;1.56260343456632;0.1933136638004445;9
4000;(1, 4);3;0.9;1.0;1.56260343456632;0.1933136638004445;9
5000;(1, 4);3;0.9;1.0;1.56260343456632;0.1933136638004445;9
4000;(1, 4);3;0.7;1.0;1.56260343456632;0.1933136638004445;9
4000;(1, 3);2;0.6;1.0;1.5639354407317725;0.1867912853459386;17
4000;(1, 3);2;0.9;1.0;1.5639354407317725;0.1867912853459386;17
4000;(1, 3);2;0.8;1.0;1.5639354407317725;0.1867912853459386;17
4000;(1, 3);2;0.7;1.0;1.5639354407317725;0.1867912853459386;17
4000;(1, 4);2;0.6;1.0;1.564663422266194;0.19198760145740396;21
4000;(1, 4);2;0.9;1.0;1.564663422266194;0.19198760145740396;21
4000;(1, 4);2;0.8;1.0;1.564663422266194;0.19198760145740396;21
4000;(1, 4);2;0.7;1.0;1.564663422266194;0.19198760145740396;21
5000;(1, 3);1;0.8;1.0;1.564965900458605;0.18424837305767397;25
5000;(1, 3);1;0.9;1.0;1.564965900458605;0.18424837305767397;25
5000;(1, 3);1;0.7;1.0;1.564965900458605;0.18424837305767397;25
5000;(1, 3);1;0.6;1.0;1.564965900458605;0.18424837305767397;25
4000;(1, 3);1;0.7;1.0;1.5650589767749885;0.1868747806292954;29
4000;(1, 3);1;0.8;1.0;1.5650589767749885;0.1868747806292954;29
4000;(1, 3);1;0.6;1.0;1.5650589767749885;0.1868747806292954;29
4000;(1, 3);1;0.9;1.0;1.5650589767749885;0.1868747806292954;29
4000;(1, 4);1;0.8;1.0;1.5653554140915702;0.18674383315373075;33
4000;(1, 4);1;0.6;1.0;1.5653554140915702;0.18674383315373075;33
4000;(1, 4);1;0.9;1.0;1.5653554140915702;0.18674383315373075;33
