param_tfidf__max_features;param_tfidf__ngram_range;param_tfidf__min_df;param_tfidf__max_df;param_ridge__alpha;mean_test_score;std_test_score;rank_test_score
5000;(1, 4);2;0.7;1.0;0.5053392215243425;0.057878259351522694;1
5000;(1, 4);2;0.8;1.0;0.5053392215243425;0.057878259351522694;1
5000;(1, 4);2;0.6;1.0;0.5053392215243425;0.057878259351522694;1
5000;(1, 4);2;0.9;1.0;0.5053392215243425;0.057878259351522694;1
5000;(1, 4);1;0.7;1.0;0.5056911541964959;0.056023969184328726;5
5000;(1, 4);1;0.8;1.0;0.5056911541964959;0.056023969184328726;5
5000;(1, 4);1;0.6;1.0;0.5056911541964959;0.056023969184328726;5
5000;(1, 4);1;0.9;1.0;0.5056911541964959;0.056023969184328726;5
5000;(1, 4);3;0.7;1.0;0.505850595098731;0.059833954137833587;9
4000;(1, 4);3;0.7;1.0;0.505850595098731;0.059833954137833587;9
5000;(1, 4);3;0.6;1.0;0.505850595098731;0.059833954137833587;9
4000;(1, 4);3;0.8;1.0;0.505850595098731;0.059833954137833587;9
4000;(1, 4);3;0.6;1.0;0.505850595098731;0.059833954137833587;9
4000;(1, 4);3;0.9;1.0;0.505850595098731;0.059833954137833587;9
5000;(1, 4);3;0.9;1.0;0.505850595098731;0.059833954137833587;9
5000;(1, 4);3;0.8;1.0;0.505850595098731;0.059833954137833587;9
4000;(1, 3);2;0.6;1.0;0.5061187221214273;0.057802329564408145;17
4000;(1, 3);2;0.7;1.0;0.5061187221214273;0.057802329564408145;17
4000;(1, 3);2;0.8;1.0;0.5061187221214273;0.057802329564408145;17
4000;(1, 3);2;0.9;1.0;0.5061187221214273;0.057802329564408145;17
4000;(1, 4);2;0.6;1.0;0.5064079380658821;0.05938986851198179;21
4000;(1, 4);2;0.7;1.0;0.5064079380658821;0.05938986851198179;21
4000;(1, 4);2;0.8;1.0;0.5064079380658821;0.05938986851198179;21
4000;(1, 4);2;0.9;1.0;0.5064079380658821;0.05938986851198179;21
4000;(1, 3);1;0.9;1.0;0.5064407260489057;0.05771264507022729;25
