learning_rate;batch_size;max_length;num_epochs;r2;mae;rmse;mse
5e-05;16;128;7;0.8070878982543945;0.11484474688768387;0.38723687421325226;0.14995239675045013
5e-05;16;256;7;0.8070402145385742;0.1148107498884201;0.38728468358045975;0.14998942613601685
5e-05;32;128;7;0.7983884811401367;0.11501876264810562;0.3958718214229634;0.15671449899673462
5e-05;32;256;7;0.7983884811401367;0.11501876264810562;0.3958718214229634;0.15671449899673462
2e-05;16;128;7;0.7913687229156494;0.14280863106250763;0.402704632583062;0.16217102110385895
2e-05;16;256;7;0.7900039553642273;0.14576329290866852;0.4040196338936653;0.16323186457157135
2e-05;16;128;5;0.770061194896698;0.16263914108276367;0.4227689173327342;0.17873355746269226
2e-05;16;256;5;0.7611739039421082;0.16634473204612732;0.4308616202357319;0.18564173579216003
2e-05;32;256;7;0.7526862025260925;0.16861136257648468;0.4384510398182484;0.19223931431770325
2e-05;32;128;7;0.7526862025260925;0.16861136257648468;0.4384510398182484;0.19223931431770325
1e-05;16;128;7;0.7513207197189331;0.18835224211215973;0.4396597821378947;0.19330072402954102
1e-05;16;256;7;0.7462174892425537;0.1882411390542984;0.44414809731511046;0.1972675323486328
5e-05;32;128;5;0.7422475814819336;0.16023565828800201;0.4476084665357222;0.20035333931446075
5e-05;32;256;5;0.7422475814819336;0.16023565828800201;0.4476084665357222;0.20035333931446075
5e-05;16;128;3;0.7409557700157166;0.15017129480838776;0.4487287585669006;0.20135749876499176
5e-05;16;256;3;0.74091637134552;0.15018105506896973;0.44876287797816466;0.20138812065124512
1e-05;16;128;5;0.7404801845550537;0.1813698709011078;0.449140458955467;0.20172715187072754
5e-05;32;128;3;0.7380315065383911;0.15584848821163177;0.45125443665074905;0.20363056659698486
5e-05;32;256;3;0.7380315065383911;0.15584848821163177;0.45125443665074905;0.20363056659698486
1e-05;16;256;5;0.7301866412162781;0.18771208822727203;0.4579611715876057;0.2097284346818924
2e-05;16;256;3;0.7293857932090759;0.16443344950675964;0.4586403064393331;0.21035093069076538
2e-05;16;128;3;0.7293857932090759;0.16443344950675964;0.4586403064393331;0.21035093069076538
2e-05;32;256;5;0.7268173098564148;0.20942451059818268;0.4608117271426172;0.21234744787216187
2e-05;32;128;5;0.7268173098564148;0.20942451059818268;0.4608117271426172;0.21234744787216187
1e-05;32;128;7;0.721470832824707;0.20066112279891968;0.46529919087146754;0.2165033370256424
1e-05;32;256;7;0.721470832824707;0.20066112279891968;0.46529919087146754;0.2165033370256424
2e-05;32;256;3;0.7201644778251648;0.18327179551124573;0.46638905095732547;0.21751874685287476
2e-05;32;128;3;0.7201644778251648;0.18327179551124573;0.46638905095732547;0.21751874685287476
1e-05;16;256;3;0.7043246030807495;0.18615968525409698;0.4794072000116039;0.229831263422966
1e-05;16;128;3;0.6996151208877563;0.19411642849445343;0.4832100703512022;0.23349197208881378
1e-05;32;256;5;0.6915802955627441;0.2105630338191986;0.4896299580090981;0.23973749577999115
1e-05;32;128;5;0.6915802955627441;0.2105630338191986;0.4896299580090981;0.23973749577999115
1e-05;32;128;3;0.6861803531646729;0.20299723744392395;0.49389770628343815;0.24393494427204132
1e-05;32;256;3;0.6861803531646729;0.20299723744392395;0.49389770628343815;0.24393494427204132
5e-05;16;256;5;0.6479898691177368;0.15942373871803284;0.5230876835464964;0.27362072467803955
5e-05;16;128;5;0.6479898691177368;0.15942373871803284;0.5230876835464964;0.27362072467803955
